id_item,priority,name_oper1,name_oper2,name_oper3
it1,High,OperacaoA,OperacaoB,OperacaoC
it2,Medium,OperacaoD,OperacaoE,
it3,Low,OperacaoF,,
it4,High,OperacaoG,OperacaoH,OperacaoI
it5,Medium,OperacaoJ,OperacaoK,
it6,Low,OperacaoL,OperacaoM,
it7,High,OperacaoN,OperacaoO,OperacaoP
it8,Medium,OperacaoQ,,
it9,Low,OperacaoR,OperacaoS,OperacaoT
it10,High,OperacaoU,OperacaoV,
it11,Medium,OperacaoW,OperacaoX,OperacaoY
it12,Low,OperacaoZ,,
it13,High,OperacaoAA,OperacaoBB,OperacaoCC
it14,Medium,OperacaoDD,,
it15,Low,OperacaoA,OperacaoAA,
it16,High,OperacaoJ,OperacaoBB,OperacaoCC
it17,Medium,OperacaoDD,OperacaoU,
it18,Low,OperacaoAA,,
it19,High,OperacaoG,OperacaoCC,
it20,Medium,OperacaoJ,OperacaoZ,OperacaoAA
it21,Low,OperacaoR,,
it22,High,OperacaoS,OperacaoT,
it23,Medium,OperacaoU,OperacaoJ,
it24,Low,OperacaoV,OperacaoB,OperacaoAA
it25,High,OperacaoY,OperacaoQ,
it26,Medium,OperacaoAA,OperacaoA,
it27,Low,OperacaoBB,OperacaoCC,
it28,High,OperacaoDD,,
it29,Medium,OperacaoE,OperacaoAA,
it30,Low,OperacaoG,OperacaoDD, ,
;
